Lab.code,Sample.ID,Sequencing_Run,Sampling.date,Sample_location,Street.No.,Vendor.No.,edge_case,Stall_corrected,address,Stall_corrected_merged,Sample.type,Sample.information,SARS.CoV.2.qPCR.result,Precise.location,FromHSM,Latitude,Longitude,Stall_corrected_latitude,Stall_corrected_longitude,Stall_merged_latitude,Stall_merged_longitude
F52,Env_0352,,2020-01-01,West,2,9-11-13,,West|2|9-11-13,West|2|9-11-13,West|2|9-11-13,Environmental swab,Ground,Negative,1,True,30.619236,114.256921,30.619236,114.256921,30.6192366842105,114.256930578947
F53,Env_0353,,2020-01-01,West,2,14,,West|2|14,West|2|14,West|2|14,Environmental swab,Roller shutter,Negative,1,True,30.619279,114.256871,30.619279,114.256871,30.619279,114.256871
F54,Env_0354,SRR23971582,2020-01-01,West,2,14,,West|2|14,West|2|14,West|2|14,Environmental swab,Ground,Positive,1,True,30.619279,114.256871,30.619279,114.256871,30.619279,114.256871
F55,Env_0355,,2020-01-01,West,2,10-12,,West|2|10-12,West|2|10-12,West|2|10-12,Environmental swab,Roller shutter,Negative,1,True,30.619291,114.256918,30.619291,114.256918,30.619291,114.256918
F56,Env_0356,,2020-01-01,West,2,10-12,,West|2|10-12,West|2|10-12,West|2|10-12,Environmental swab,Ground,Negative,1,True,30.619291,114.256918,30.619291,114.256918,30.619291,114.256918
F57,Env_0357,,2020-01-01,West,2,10-12,,West|2|10-12,West|2|10-12,West|2|10-12,Environmental swab,Roller shutter,Negative,1,True,30.619291,114.256918,30.619291,114.256918,30.619291,114.256918
F58,Env_0358,,2020-01-01,West,2,10-12,,West|2|10-12,West|2|10-12,West|2|10-12,Environmental swab,Ground,Negative,1,True,30.619291,114.256918,30.619291,114.256918,30.619291,114.256918
F59,Env_0359,,2020-01-01,West,2,6-8,,West|2|6-8,West|2|6-8,West|2|6-8,Environmental swab,Roller shutter,Negative,1,True,30.619305,114.256977,30.619305,114.256977,30.619305,114.256977
F6,Env_0306,,2020-01-01,West,7,26-28,,West|7|26-28,West|7|26-28,West|7|26-28,Environmental swab,Scale,Negative,1,True,30.619615,114.256501,30.619615,114.256501,30.619615,114.256501
F60,Env_0360,,2020-01-01,West,2,6-8,,West|2|6-8,West|2|6-8,West|2|6-8,Environmental swab,Ground,Negative,1,True,30.619305,114.256977,30.619305,114.256977,30.619305,114.256977
F61,Env_0361,,2020-01-01,West,2,6-8,,West|2|6-8,West|2|6-8,West|2|6-8,Environmental swab,Roller shutter,Negative,1,True,30.619305,114.256977,30.619305,114.256977,30.619305,114.256977
F62,Env_0362,,2020-01-01,West,2,6-8,,West|2|6-8,West|2|6-8,West|2|6-8,Environmental swab,Ground,Negative,1,True,30.619305,114.256977,30.619305,114.256977,30.619305,114.256977
F63,Env_0363,,2020-01-01,West,2,5-7,,West|2|5-7,West|2|5-7,West|2|5-7,Environmental swab,Roller shutter,Negative,1,True,30.619252,114.256994,30.619252,114.256994555556,30.6192522857143,114.256995071429
F64,Env_0364,,2020-01-01,West,2,5-7,,West|2|5-7,West|2|5-7,West|2|5-7,Environmental swab,Ground,Negative,1,True,30.619252,114.256994,30.619252,114.256994555556,30.6192522857143,114.256995071429
F65,Env_0365,,2020-01-01,West,2,5-7,,West|2|5-7,West|2|5-7,West|2|5-7,Environmental swab,Roller shutter,Negative,1,True,30.619252,114.256994,30.619252,114.256994555556,30.6192522857143,114.256995071429
F66,Env_0366,,2020-01-01,West,2,5-7,,West|2|5-7,West|2|5-7,West|2|5-7,Environmental swab,Ground,Negative,1,True,30.619252,114.256994,30.619252,114.256994555556,30.6192522857143,114.256995071429
F67,Env_0367,,2020-01-01,West,2,1-3,,West|2|1-3,West|2|1-3,West|2|1-3,Environmental swab,Roller shutter,Negative,1,True,30.619267,114.257051,30.619267,114.257051,30.619267,114.257051
F68,Env_0368,,2020-01-01,West,2,1-3,,West|2|1-3,West|2|1-3,West|2|1-3,Environmental swab,Ground,Negative,1,True,30.619267,114.257051,30.619267,114.257051,30.619267,114.257051
F69,Env_0369,,2020-01-01,West,2,1-3,,West|2|1-3,West|2|1-3,West|2|1-3,Environmental swab,Roller shutter,Negative,1,True,30.619267,114.257051,30.619267,114.257051,30.619267,114.257051
F7,Env_0307,,2020-01-01,West,7,26-28,,West|7|26-28,West|7|26-28,West|7|26-28,Environmental swab,Ground,Negative,1,True,30.619615,114.256501,30.619615,114.256501,30.619615,114.256501
F70,Env_0370,,2020-01-01,West,2,1-3,,West|2|1-3,West|2|1-3,West|2|1-3,Environmental swab,Ground,Negative,1,True,30.619267,114.257051,30.619267,114.257051,30.619267,114.257051
F71,Env_0371,,2020-01-01,West,2,4,,West|2|4,West|2|4,West|2|4,Environmental swab,Roller shutter,Negative,1,True,30.619316,114.25702,30.619316,114.25702,30.619316,114.25702
F72,Env_0372,,2020-01-01,West,2,4,,West|2|4,West|2|4,West|2|4,Environmental swab,Ground,Negative,1,True,30.619316,114.25702,30.619316,114.25702,30.619316,114.25702
F73,Env_0373,,2020-01-01,West,2,2,,West|2|2,West|2|2,West|2|2,Environmental swab,Roller shutter,Negative,1,True,30.619323,114.257049,30.619323,114.257049,30.619323,114.257049
F74,Env_0374,,2020-01-01,West,2,2,,West|2|2,West|2|2,West|2|2,Environmental swab,Ground,Negative,1,True,30.619323,114.257049,30.619323,114.257049,30.619323,114.257049
F75,Env_0375,,2020-01-01,West,2,X5-X3,,West|2|X5-X3,West|2|X5-X3,West|2|X5-X3-X1,Environmental swab,Roller shutter,Negative,1,True,30.61928,114.257109,30.61928,114.257109,30.619283,114.2571235
F76,Env_0376,,2020-01-01,West,2,X5-X3,,West|2|X5-X3,West|2|X5-X3,West|2|X5-X3-X1,Environmental swab,Ground,Negative,1,True,30.61928,114.257109,30.61928,114.257109,30.619283,114.2571235
F77,Env_0377,,2020-01-01,West,2,X5-X3,,West|2|X5-X3,West|2|X5-X3,West|2|X5-X3-X1,Environmental swab,Roller shutter,Negative,1,True,30.61928,114.257109,30.61928,114.257109,30.619283,114.2571235
F78,Env_0378,,2020-01-01,West,2,X5-X3,,West|2|X5-X3,West|2|X5-X3,West|2|X5-X3-X1,Environmental swab,Ground,Negative,1,True,30.61928,114.257109,30.61928,114.257109,30.619283,114.2571235
F79,Env_0379,,2020-01-01,West,2,X4-X6,,West|2|X4-X6,West|2|X4-X6,West|2|X4-X6,Environmental swab,Roller shutter,Negative,1,True,30.619333,114.257092,30.619333,114.257092,30.619333,114.257092
F8,Env_0308,,2020-01-01,West,7,26-28,,West|7|26-28,West|7|26-28,West|7|26-28,Environmental swab,Sewage on floor,Negative,1,True,30.619615,114.256501,30.619615,114.256501,30.619615,114.256501
F80,Env_0380,,2020-01-01,West,2,X4-X6,,West|2|X4-X6,West|2|X4-X6,West|2|X4-X6,Environmental swab,Ground,Negative,1,True,30.619333,114.257092,30.619333,114.257092,30.619333,114.257092
F81,Env_0381,,2020-01-01,West,2,X4-X6,,West|2|X4-X6,West|2|X4-X6,West|2|X4-X6,Environmental swab,Roller shutter,Negative,1,True,30.619333,114.257092,30.619333,114.257092,30.619333,114.257092
F82,Env_0382,,2020-01-01,West,2,X4-X6,,West|2|X4-X6,West|2|X4-X6,West|2|X4-X6,Environmental swab,Ground,Negative,1,True,30.619333,114.257092,30.619333,114.257092,30.619333,114.257092
F83,Env_0383,,2020-01-01,West,2,X3-X1,,West|2|X3-X1,West|2|X3-X1,West|2|X5-X3-X1,Environmental swab,Roller shutter,Negative,1,True,30.619286,114.257138,30.619286,114.257138,30.619283,114.2571235
F84,Env_0384,,2020-01-01,West,2,X3-X1,,West|2|X3-X1,West|2|X3-X1,West|2|X5-X3-X1,Environmental swab,Ground,Negative,1,True,30.619286,114.257138,30.619286,114.257138,30.619283,114.2571235
F85,Env_0385,,2020-01-01,West,2,X3-X1,,West|2|X3-X1,West|2|X3-X1,West|2|X5-X3-X1,Environmental swab,Roller shutter,Negative,1,True,30.619286,114.257138,30.619286,114.257138,30.619283,114.2571235
F86,Env_0386,,2020-01-01,West,2,X3-X1,,West|2|X3-X1,West|2|X3-X1,West|2|X5-X3-X1,Environmental swab,Ground,Negative,1,True,30.619286,114.257138,30.619286,114.257138,30.619283,114.2571235
F87,Env_0387,,2020-01-01,West,2,X2-X4,,West|2|X2-X4,West|2|X2-X4,West|2|X2-X4,Environmental swab,Roller shutter,Negative,1,True,30.61934,114.25712,30.61934,114.25712,30.61934,114.25712
F88,Env_0388,,2020-01-01,West,2,X2-X4,,West|2|X2-X4,West|2|X2-X4,West|2|X2-X4,Environmental swab,Ground,Negative,1,True,30.61934,114.25712,30.61934,114.25712,30.61934,114.25712
F89,Env_0389,,2020-01-01,West,2,X2-X4,,West|2|X2-X4,West|2|X2-X4,West|2|X2-X4,Environmental swab,Roller shutter,Negative,1,True,30.61934,114.25712,30.61934,114.25712,30.61934,114.25712
F9,Env_0309,,2020-01-01,West,11,15,,West|11|15,West|11|15,West|11|15,Environmental swab,Surface of white basket,Negative,1,True,30.619929,114.256638,30.619929,114.256638,30.619929,114.256638
F90,Env_0390,,2020-01-01,West,2,X2-X4,,West|2|X2-X4,West|2|X2-X4,West|2|X2-X4,Environmental swab,Ground,Negative,1,True,30.61934,114.25712,30.61934,114.25712,30.61934,114.25712
F91,Env_0391,,2020-01-01,West,4,X1-X3,,West|4|X1-X3,West|4|X1-X3,West|4|X1-X3-X5,Environmental swab,Roller shutter,Negative,1,True,30.619442,114.257086,30.619442,114.257086,30.619439,114.2570715
F92,Env_0392,,2020-01-01,West,4,X1-X3,,West|4|X1-X3,West|4|X1-X3,West|4|X1-X3-X5,Environmental swab,Ground,Negative,1,True,30.619442,114.257086,30.619442,114.257086,30.619439,114.2570715
F93,Env_0393,,2020-01-01,West,4,X1-X3,,West|4|X1-X3,West|4|X1-X3,West|4|X1-X3-X5,Environmental swab,Roller shutter,Negative,1,True,30.619442,114.257086,30.619442,114.257086,30.619439,114.2570715
F94,Env_0394,,2020-01-01,West,4,X1-X3,,West|4|X1-X3,West|4|X1-X3,West|4|X1-X3-X5,Environmental swab,Ground,Negative,1,True,30.619442,114.257086,30.619442,114.257086,30.619439,114.2570715
F95,Env_0395,,2020-01-01,West,4,X2,,West|4|X2,West|4|X2,West|4|X2,Environmental swab,Roller shutter,Negative,1,True,30.6195,114.257083,30.6195,114.257083,30.6195,114.257083
F96,Env_0396,,2020-01-01,West,4,X2,,West|4|X2,West|4|X2,West|4|X2,Environmental swab,Ground,Negative,1,True,30.6195,114.257083,30.6195,114.257083,30.6195,114.257083
F97,Env_0397,,2020-01-01,West,4,X6-X4,Was coded backwards,West|4|X4-X6,West|4|X4-X6,West|4|X4-X6,Environmental swab,Roller shutter,Negative,1,True,30.619489,114.25704,30.619489,114.25704,30.619489,114.25704
F98,Env_0398,SRR23971583,2020-01-01,West,4,X6-X4,Was coded backwards,West|4|X4-X6,West|4|X4-X6,West|4|X4-X6,Environmental swab,Ground,Positive,1,True,30.619489,114.25704,30.619489,114.25704,30.619489,114.25704
F99,Env_0399,,2020-01-01,West,4,X6-X4,Was coded backwards,West|4|X4-X6,West|4|X4-X6,West|4|X4-X6,Environmental swab,Roller shutter,Negative,1,True,30.619489,114.25704,30.619489,114.25704,30.619489,114.25704
G1,Env_0417,,2020-01-01,West,7,27,,West|7|27,West|7|27,West|7|27,Environmental swab,Surface of basket,Negative,1,True,30.61956,114.2565,30.61956,114.2565,30.61956,114.2565
G10,Env_0426,,2020-01-01,West,7,29,,West|7|29,West|7|29,West|7|29,Environmental swab,Wall,Negative,1,True,30.619553,114.256472,30.619553,114.256472,30.619553,114.256472
G11,Env_0427,,2020-01-01,West,7,29,,West|7|29,West|7|29,West|7|29,Environmental swab,Sewage in bucket,Negative,1,True,30.619553,114.256472,30.619553,114.256472,30.619553,114.256472
G12,Env_0428,,2020-01-01,West,7,31-33,,West|7|31-33,West|7|31-33,West|7|31-33,Environmental swab,Surface of basket,Negative,1,True,30.619542,114.25643,30.619542,114.25643,30.619542,114.25643
G13,Env_0429,,2020-01-01,West,7,31-33,,West|7|31-33,West|7|31-33,West|7|31-33,Environmental swab,Surface of basket,Negative,1,True,30.619542,114.25643,30.619542,114.25643,30.619542,114.25643
G14,Env_0430,,2020-01-01,West,7,31-33,,West|7|31-33,West|7|31-33,West|7|31-33,Environmental swab,Wall,Negative,1,True,30.619542,114.25643,30.619542,114.25643,30.619542,114.25643
G15,Env_0431,,2020-01-01,West,7,31-33,,West|7|31-33,West|7|31-33,West|7|31-33,Environmental swab,Scale,Negative,1,True,30.619542,114.25643,30.619542,114.25643,30.619542,114.25643
G16,Env_0432,,2020-01-01,West,7,31-33,,West|7|31-33,West|7|31-33,West|7|31-33,Environmental swab,Water in pool,Negative,1,True,30.619542,114.25643,30.619542,114.25643,30.619542,114.25643
G17,Env_0433,,2020-01-01,West,7,31-33,,West|7|31-33,West|7|31-33,West|7|31-33,Environmental swab,Inner surface of trush cans,Negative,1,True,30.619542,114.25643,30.619542,114.25643,30.619542,114.25643
G18,Env_0434,,2020-01-01,West,7,34,,West|7|34,West|7|34,West|7|34,Environmental swab,Scale,Negative,1,True,30.619591,114.256401,30.619591,114.256401,30.619591,114.256401
G19,Env_0435,,2020-01-01,West,7,34,,West|7|34,West|7|34,West|7|34,Environmental swab,Wall,Negative,1,True,30.619591,114.256401,30.619591,114.256401,30.619591,114.256401
G2,Env_0418,,2020-01-01,West,7,27,,West|7|27,West|7|27,West|7|27,Environmental swab,Wall,Negative,1,True,30.61956,114.2565,30.61956,114.2565,30.61956,114.2565
G20,Env_0436,,2020-01-01,West,7,34,,West|7|34,West|7|34,West|7|34,Environmental swab,Inner surface of foam box,Negative,1,True,30.619591,114.256401,30.619591,114.256401,30.619591,114.256401
G21,Env_0437,,2020-01-01,West,7,34,,West|7|34,West|7|34,West|7|34,Environmental swab,Inner surface of white basket,Negative,1,True,30.619591,114.256401,30.619591,114.256401,30.619591,114.256401
G22,Env_0438,,2020-01-01,West,7,34,,West|7|34,West|7|34,West|7|34,Environmental swab,Drainage outlet,Negative,1,True,30.619591,114.256401,30.619591,114.256401,30.619591,114.256401
G23,Env_0439,,2020-01-01,West,7,34,,West|7|34,West|7|34,West|7|34,Environmental swab,Bucket,Negative,1,True,30.619591,114.256401,30.619591,114.256401,30.619591,114.256401
G24,Env_0440,,2020-01-01,West,7,35-37,,West|7|35-37,West|7|35-37,West|7|35-37,Environmental swab,Scale,Negative,1,True,30.619527,114.256373,30.619527,114.256373,30.619527,114.256373
G25,Env_0441,,2020-01-01,West,7,35-37,,West|7|35-37,West|7|35-37,West|7|35-37,Environmental swab,Surface of cart,Negative,1,True,30.619527,114.256373,30.619527,114.256373,30.619527,114.256373
G26,Env_0442,,2020-01-01,West,7,35-37,,West|7|35-37,West|7|35-37,West|7|35-37,Environmental swab,Surface of Vegetable,Negative,1,True,30.619527,114.256373,30.619527,114.256373,30.619527,114.256373
G27,Env_0443,,2020-01-01,West,7,35-37,,West|7|35-37,West|7|35-37,West|7|35-37,Environmental swab,Surface of lift,Negative,1,True,30.619527,114.256373,30.619527,114.256373,30.619527,114.256373
G28,Env_0444,,2020-01-01,West,7,35-37,,West|7|35-37,West|7|35-37,West|7|35-37,Environmental swab,Ground,Negative,1,True,30.619527,114.256373,30.619527,114.256373,30.619527,114.256373
G29,Env_0445,,2020-01-01,West,7,38,,West|7|38,West|7|38,West|7|38,Environmental swab,Cart,Negative,1,True,30.619578,114.256344,30.619578,114.256344,30.619578,114.256344
G3,Env_0419,,2020-01-01,West,7,27,,West|7|27,West|7|27,West|7|27,Environmental swab,Table top,Negative,1,True,30.61956,114.2565,30.61956,114.2565,30.61956,114.2565
G30,Env_0446,,2020-01-01,West,7,38,,West|7|38,West|7|38,West|7|38,Environmental swab,Surface of lift,Negative,1,True,30.619578,114.256344,30.619578,114.256344,30.619578,114.256344
G31,Env_0447,,2020-01-01,West,7,38,,West|7|38,West|7|38,West|7|38,Environmental swab,Ground,Negative,1,True,30.619578,114.256344,30.619578,114.256344,30.619578,114.256344
G32,Env_0448,,2020-01-01,West,7,38,,West|7|38,West|7|38,West|7|38,Environmental swab,Drainage outlet,Negative,1,True,30.619578,114.256344,30.619578,114.256344,30.619578,114.256344
G33,Env_0449,,2020-01-01,West,7,38,,West|7|38,West|7|38,West|7|38,Environmental swab,Water in pool,Negative,1,True,30.619578,114.256344,30.619578,114.256344,30.619578,114.256344
G34,Env_0450,,2020-01-01,West,7,38,,West|7|38,West|7|38,West|7|38,Environmental swab,Water in pool,Negative,1,True,30.619578,114.256344,30.619578,114.256344,30.619578,114.256344
G35,Env_0451,,2020-01-01,West,7,29,,West|7|29,West|7|29,West|7|29,Environmental swab,Filter,Negative,1,True,30.619553,114.256472,30.619553,114.256472,30.619553,114.256472
G36,Env_0452,,2020-01-01,West,7,31-33,,West|7|31-33,West|7|31-33,West|7|31-33,Environmental swab,Filter,Negative,1,True,30.619542,114.25643,30.619542,114.25643,30.619542,114.25643
G37,Env_0453,,2020-01-01,West,7,30-32,,West|7|30-32,West|7|30-32,West|7|30-32,Environmental swab,Filter,Negative,1,True,30.619602,114.256444,30.619602,114.256444,30.619602,114.256444
G38,Env_0454,,2020-01-01,West,7,34,,West|7|34,West|7|34,West|7|34,Environmental swab,Filter,Negative,1,True,30.619591,114.256401,30.619591,114.256401,30.619591,114.256401
G39,Env_0455,,2020-01-01,West,7,25,,West|7|25,West|7|25,West|7|25,Environmental swab,Filter,Negative,1,True,30.619567,114.25653,30.619567,114.25653,30.619567,114.25653
G4,Env_0420,,2020-01-01,West,7,27,,West|7|27,West|7|27,West|7|27,Environmental swab,Scale,Negative,1,True,30.61956,114.2565,30.61956,114.2565,30.61956,114.2565
G40,Env_0456,,2020-01-01,West,8,26-28,,West|8|26-28,West|8|26-28,West|8|26-28,Environmental swab,Inner surface of trush cans,Negative,1,True,30.619693,114.256478,30.619693,114.256478,30.619693,114.256478
G41,Env_0457,,2020-01-01,West,8,26-28,,West|8|26-28,West|8|26-28,West|8|26-28,Environmental swab,Surface of frozen food,Negative,1,True,30.619693,114.256478,30.619693,114.256478,30.619693,114.256478
G42,Env_0458,,2020-01-01,West,8,26-28,,West|8|26-28,West|8|26-28,West|8|26-28,Environmental swab,Inner surface of red basket,Negative,1,True,30.619693,114.256478,30.619693,114.256478,30.619693,114.256478
